Hindi Words,English Words
धन,money
आनंद,fun
हरा,green
हालाँकि,however
गाल,cheek
मेरा,mine
साफ़,clear
भूरा,brown
आगे,forward
पास में,near
चित्र,picture
मई,may
ठंडा,cool
गाड़ी चलाना,drive
आलिंगन,hug
हिलाना,shake
विवेक,sense
ठीक,alright
आप,you'll
सपना,dream
टांगना,hang
कपड़े,clothes
कार्य,act
बनना,become
प्रबंधित करना,manage
मतलब,meant
खेल,game
अनदेखा करना,ignore
सीढ़ी,stair
लिया,taken
दल,party
जोड़ना,add
कभी-कभी,sometimes
काम,job
दस,ten
गोली मारना,shot
तारीख,date
शांत,quiet
टकटकी,gaze
समूह,group
ऊँचा स्वर,loud
सीधा,straight
मृत,dead
गरदन,neck
के बगल में,beside
रोकना,pause
संख्या,number
बातचीत,conversation
अवसर,chance
कुंआ,we'll
गुलाब,rose
चुपचाप,quietly
कस्बा,town
खून,blood
रंग,color
मेज़,desk
रात का खाना,dinner
बड़ा कमरा,hall
घोड़ा,horse
संगीत,music
लाया,brought
टुकड़ा,piece
इसके बाद,anymore
सुंदर,beautiful
आदेश,order
आग,fire
कार्यालय,office
सत्य,TRUE
यद्यपि,although
गरम,warm
आसान,easy
प्रवेश करना,enter
उत्तम,perfect
धीरे से कहना,mutter
नरमी से,softly
पार करना,cross
झटका,shock
नखरे की मुस्कराहट,smirk
लानत है,damn
कोमल,soft
पेट,stomach
चटकाना,snap
बोला,spoke
थका देना,tire
डिब्बा,box
पकड़ना,catch
त्वचा,skin
अध्यापक,teacher
मध्य,middle
टिप्पणी,note
आप स्वयं,yourself
नहीं है,haven't
दिन का खाना,lunch
आने वाला कल,tomorrow
साँस लेना,breathe
साफ़,clean
के अलावा,except
के जैसा लगना,appear
ताला,lock
दस्तक,knock
स्नानघर,bathroom
फ़िल्म,movie
सहमत,agree
प्रस्ताव,offer
लात मारना,kick
प्रपत्र,form
भ्रमित,confuse
धूल में मिलना,lay
कम,less
शांत,calm
फिसलना,slip
नहीं थे,weren't
संकेत,sign
कुत्ता,dog
उठाना,lift
तुरंत,immediately
आना,arrive
सौदा,deal
आज रात,tonight
आम तौर पर,usually
मामला,case
घुड़की,frown
दुकान,shop
डराना,scare
वादा,promise
गेंदा,mum
सोफ़ा,couch
भुगतान करना,pay
राज्य,state
मल,shit
लपेटना,wrap
जेब,pocket
नमस्ते,hello
मुक्त,free
बहुत बड़ा,huge
सवारी,ride
परेशान करना,bother
भूमि,land
ज्ञात,known
विशेष रूप से,especially
अभिव्यक्ति,expression
ढोना,carry
अँगूठी,ring
धब्बा,spot
अनुमति देना,allow
अनेक,several
नहीं कर रहे हैं,aren't
दौरान,during
खाली,empty
महिला,lady
भौं,eyebrow
अजीब,strange
कॉफ़ी,coffee
सड़क,road
फेक दिया,threw
चौड़ा,wide
बस,bus
भूल जाओ,forget
कमाई,gotten
गंध,smell
डर,fear
प्रेस,press
दोस्त,boyfriend
गोरा,blonde
फेंकना,throw
गोल,round
रवि,sun
लंबा,tall
खुश,glad
आयु,age
लिखना,write
ऊपर,upon
छिपाना,hide
बन गया,became
भीड़,crowd
बारिश,rain
बचाना,save
मुश्किल,trouble
चिढ़ाना,annoy
नाक,nose
अजीब,weird
मौत,death
पीटना,beat
सुर,tone
यात्रा,trip
छह,six
नियंत्रण,control
लगभग,nearly
विचार करना,consider
होने वाला,gonna
जोड़ना,join
सीखना,learn
ऊपर,above
नमस्ते,hi
ज़ाहिर तौर से,obviously
पूरा,entire
दिशा,direction
पैर,foot
गुस्सा,angry
शक्ति,power
मज़बूत,strong
जल्दी,quick
चिकित्सक,doctor
किनारा,edge
गाना,song
सुप्त,asleep
बीस,twenty
मुश्किल से,barely
अवशेष,remain
बच्चा,child
आनंद लेना,enjoy
बंदूक,gun
धीमा,slow
शहर,city
टूट गया,broke
चाबी,key
नेतृत्व करना,lead
गला,throat
सामान्य,normal
आप चाहते,you'd
कहीं,somewhere
जागना,wake
जोड़ा,pair
आकाश,sky
मज़ेदार,funny
व्यवसाय,business
विद्यार्थी,student
खिसियाना,giggle
चमकदार,bright
भर्ती होना,admit
जींस,jeans
दिया गया,given
बच्चे,children
इकट्ठा करना,store
मिठाई,sweet
कम,low
चढ़ना,climb
रगड़ना,rub
अपार्टमेंट,apartment
घुटना,knee
जूता,shoe
आक्रमण करना,attack
सोने का कमरा,bedroom
चुटकुला,joke
खर्च किया,spent
परिस्थिति,situation
अटक गया,stuck
धीरे,gently
संभव,possible
कक्ष,cell
उल्लेख,mention
चुपचाप,silent
निश्चित रूप से,definitely
जल्दबाज़ी करना,rush
त्रिशंकु,hung
ब्रश,brush
शायद,perhaps
कराहना,groan
गधा,ass
चट्टान,rock
कार्ड,card
खोना,lose
शर्म,blush
अलावा,besides
पागल,crazy
प्रकार,type
ऊब पैदा करना,bore
डरना,afraid
पीछा करना,chase
जवाब देना,respond
शादी कर,marry
याद दिलाना,remind
सामान बाँधना,pack
बेटी,daughter
गंभीर,serious
दोस्त,girlfriend
पागल,mad
किसी तरह,somehow
खरीदना,buy
भेजा,sent
कसा हुआ,tight
केवल,simply
विश्वास,trust
कल्पना करना,imagine
हवा,wind
कुड़ाकुड़ाना,chuckle
छड़,bar
गुलाबी,pink
धक्का,shove
गेंद,ball
दृश्य,sight
खींचना,drag
वे चाहते,they'd
इंसान,human
सच,truth
शेयर करना,share
क्षेत्र,area
चिंता,concern
नहीं करना चाहिए,shouldn't
टीम,team
पलायन,escape
बुदबुदाना,mumble
अक्सर,often
खोज,search
प्रकट रूप से,apparently
कोशिश करना,attempt
बेटा,son
अंदर,within
बैंड,band
प्यारा,cute
अगुआई की,led
याद,memory
गुस्सा,anger
उड़ना,fly
रँगना,paint
बोतल,bottle
व्यस्त,busy
टिप्पणी,comment
चिल्लाना,exclaim
टालना,avoid
बढ़ना,grow
स्लेटी,grey
आईना,mirror
दम तोड़ देना,gasp
दालान,hallway
प्रिय,dear
तारा,star
बीमार,sick
बिल्ली,cat
विरोध करना,counter
बाधा डालना,interrupt
कोई नहीं,none
झपकी,blink
खर्च करना,spend
साधारण,usual
ज़्यादा बुरा,worse
लॉकर,locker
महत्वपूर्ण,important
पसंदीदा,favorite
पकड़,grip
टीवी,TV
बर्फ़,ice
दिखावा करना,pretend
निपटारा करना,settle
अमेज,amaze
जल्दी से आना,pop
गायब होना,disappear
सावधानी से,carefully
रेलगाड़ी,train
चिपकना,stick
रक्षक,guard
दाँत,teeth
चमक,flash
चाचा,uncle
भेजना,send
संदेह,doubt
मिलने जाना,visit
घबराया हुआ,nervous
उत्तेजित,excite
दृष्टिकोण,approach
क्षमा,excuse
उपयुक्त,fit
शोर,noise
अध्ययन,study
पत्र,letter
पुलिस,police
अंततः,eventually
जलाना,burn
मैदान,field
अस्पताल,hospital
बाँधना,tie
गर्मी,summer
हुह,huh
बदलाव,shift
खुद,self
जल्दी,hurry
अभिवादन,greet
पत्नी,wife
पद,position
हमने,we've
पोंछना,wipe
अधिक वज़नदार,heavy
स्लैम,slam
टूटा हुआ,broken
पूरा,complete
अंतरिक्ष,space
दिमाग,brain
छोटा,tiny
पैंट,pants
एएच,ah
पंच,punch
फव्वारा,shower
जीभ,tongue
दोपहर,afternoon
गंभीरता से,seriously
कप,cup
आगे,further
जाति,race
पहचानना,recognize
कंप्यूटर,computer
बजी,rang
सुरक्षित,safe
जैकेट,jacket
तल,bottom
सौ,hundred
आराम करना,relax
अचानक,sudden
बहुत खूब,wow
कॉलेज,college
पलटना,flip
मनोदशा,mood
रास्ता,track
दरार,crack
अवरोध पैदा करना,block
सँभालना,handle
खुद,themselves
गल्ला,drove
सात,seven
संघर्ष,struggle
चाहे,whether
आगे,ahead
उदास,sad
सूखा,dry
औरत,women
केंद्र,focus
दोहराना,repeat
मोटा,thick
रिश्ता,relationship
झटका,jerk
वर्तमान,present
चूसना,suck
घंटी,bell
चारों ओर,surround
शाम,evening
काटना,bite
अकेला,single
गलती,fault
छाया,shadow
लकड़ी,wood
आसानी से,easily
उठा,woke
धुआँ,smoke
खींचना,draw
सुझाव देना,suggest
गीला,wet
स्वीकार करना,accept
तीसरा,third
पूरी तरह से,totally
पहनी थी,wore
नाश्ता,breakfast
पगडंडी,trail
जानवर,animal
चेतावनी देना,warn
चाची,aunt
महोदय,sir
पेशाब,piss
फोड़ना,burst
मिलान,match
हल करना,fix
वास्तव में,practically
अजीब,odd
धोना,wash
गाना,sing
इंच,inch
आकार,size
गुप्त,secret
कौन है,who's
घड़ी,clock
कंपनी,company
देखना,view
पोशाक,suit
हमेशा के लिए,forever
परिचित,familiar
माथा,forehead
गोली मारना,shoot
बढ़ी,grew
खींचना,stretch
पाउंड,pound
इसके बावजूद,despite
जवाब,response
केंद्र,center
कर्ल,curl
थोड़ा,slight
टॉस,toss
के नीचे,beneath
मुट्ठी,fist
स्वागत,welcome
हँसी,laughter
देवदूत,angel
क्रिसमस,Christmas
बुध,we'd
मुख्य,main
सरल,simple
कोई भी नहीं,neither
दूरी,distance
आराम,comfort
परेशान,upset
मान लीजिए,assume
आठ,eight
इकट्ठा करना,gather
भाग्यशाली,lucky
हल्का होना,fade
एमएस।,Ms.
परत,coat
विशेष,special
अजीब,awkward
कुछ,certain
तश्तरी,plate
अंधेरा,darkness
अभ्यास,practice
ज़ाहिर,obvious
श्रेणी,grade
मलाई,cream
पसंद,choice
मुश्किल से,hardly
फीका,pale
पतला,thin
बटन,button
चॉकलेट,chocolate
अस्वीकार करना,refuse
गिरावट,slid
तकिया,pillow
तीस,thirty
गिनती करना,count
ईमानदारी से,honestly
गरीब,poor
गति,motion
आंधी,storm
हलकी हलकी,lightly
कोई नहीं,nobody
अनुभव,experience
पथ,path
अवधि,period
हिम्मत,dare
माँग,demand
आरामदायक,comfortable
स्पष्ट रूप से,clearly
चाँदी,silver
समकक्ष,peer
जन्मदिन,birthday
घृणा,disgust
शर्मिंदा करना,embarrass
खरीदा,bought
परीक्षा,test
गोद,lap
बेट,bet
जोर जोर,loudly
चालक,driver
बड़बड़ाहट,murmur
स्वाद,taste
पूरी तरह से,perfectly
निचोड़,squeeze
तख़्ता,board
कीमत,worth
तह करना,fold
फैलाना,spread
बकवास,crap
भावना,emotion
विषय,subject
बहना,pour
लिटा देना,laid
निचला,lower
मील,mile
हाँ,yea
पृष्ठ,page
ढेर,pile
बर्फ,snow
संदेश,message
अंग्रेज़ी,English
दृश्य,scene
डूबना,sink
असफल,fail
भूल गया,forgot
छेद,hole
दिल ही दिल में,silently
गर्मी,heat
सप्ताहांत,weekend
ड्रयू,drew
गिटार,guitar
पसीना,sweat
जब तक,unless
बादल,cloud
कमर,waist
थप्पड़,slap
बहस करना,argue
घास,grass
बेवकूफ़,idiot
स्क्रीन,screen
कल,yesterday
कसम खाना,swear
जुड़वां,twin
हाथों हाथ,instantly
अलग,apart
सँकरा,narrow
विलोम,opposite
फूँक मारना,blow
कलाई,wrist
धरती,earth
कार्य,action
घेरा,circle
भूल गई,forgotten
सूची,list
अलमारी,closet
पिया हुआ,drunk
आकार,shape
पीला,yellow
मोड़,twist
वज़न,weight
बुद्धिमान,smart
यह होगा,it'll
इलाज,treat
पोखर,pool
तैयार करना,prepare
चौकन्ना,awake
निश्चित रूप से,certainly
चिढ़ाना,tease
संपर्क,contact
फिसलना,slide
आश्चर्यजनक,wonderful
कुतिया,bitch
प्रकट करना,reveal
झूला,swing
ट्रक,truck
कहीं भी,anywhere
फूल,flower
ऊपर,upstairs
उसकी,hers
अपने आप,itself
घूमना,wander
सीढ़ी के नीचे,downstairs
फ़ुटबॉल,football
संभवत:,possibly
फाड़ना,rip
जंगल,forest
अधिकतर,mostly
खूनी,bloody
गिरजाघर,church
समलैंगिक,gay
पत्थर,stone
पति,husband
लिंग,sex
चाल,trick
आपका अपना,yours
बादल की गरज,growl
क्लब,club
शुक्रवार,Friday
अवस्था,stage
शामिल करना,include
एसआईपी,sip
आमंत्रित करना,invite
तीखा,sharp
मनवाना,convince
चादर,sheet
बिल्कुल,absolutely
नारंगी,orange
राहत,relief
क्षमा माँगना,apologize
कला,art
नरक,he'll
निकालना,remove
टकरा जाना,crash
वैन,van
अभिशाप,curse
जीवित,alive
कंबल,blanket
पाना,receive
बख्शीश,tip
उठना,rise
मज़बूती से,tightly
बरबाद करना,waste
कटोरा,bowl
गिरा हुआ,fallen
नदी,river
माँ,mama
गति,pace
शहद,honey
निगलना,swallow
राजा,king
कैमरा,camera
योग्य होना,deserve
गंदा,dirty
ठोड़ी,chin
द्वार,doorway
छवि,image
कुकी,cookie
गृहकार्य,homework
टोपी,hat
भाग्य,luck
अलग,aside
जानकारी,information
पंद्रह,fifteen
गोरा,fair
खिलाड़ी,player
राक्षस,monster
दरवाज़ा,gate
जीतना,win
नीचे,below
छत,ceiling
क्लिक,click
खाना पकाना,cook
यात्रा,travel
मछली,fish
जगमगाता,lit
nervously,nervously
तौलिया,towel
कांपना,shiver
अंतिम,final
भयंकर,horrible
स्टेशन,station
शिविर,camp
भूखा,hungry
हज़ार,thousand
बुराई,evil
अमीर,rich
युद्ध,war
शामिल होना,involve
जबड़ा,jaw
असुविधाजनक,uncomfortable
सीधे,directly
स्तर,level
दोहरा,double
नौ,nine
प्राणी,creature
चमकना,glow
कुछ हद तक,somewhat
दोष,blame
प्रवेश,entrance
कूल्हा,hip
ताज़ा,fresh
फुफकार,hiss
सामान्य रूप से,normally
नल,tap
मशीन,machine
नष्ट करना,ruin
भालू,bear
नियम,rule
तक,till
मुर्गा,cock
ठोकर,stumble
शिकायत करना,complain
हर कोई,everybody
सही मायने में,truly
देखभाल करना,nurse
रफ़्तार,speed
हम्म,hmm
घबड़ाहट,panic
चिकना,smooth
कमज़ोर,weak
अलविदा,good-bye
चाहेंगे गए,would've
अतिरिक्त,extra
हाव-भाव,gesture
भ्रूभंग,scowl
बीयर,beer
मुक्त करना,release
देश,country
अफ़सर,officer
सावधान,careful
बनाएं,create
पहाड़,hill
फक-फक करना,snort
उड़ गया,flew
एड़ी,heel
भौंह,brow
शुल्क,charge
समतल,flat
प्लस,plus
बदलना,switch
जब कभी भी,whenever
अभिप्राय,drift
धातु,metal
खोज करना,discover
पहिया,wheel
स्कर्ट,skirt
थपथपाना,pat
खाया,ate
चाय,tea
होटल,hotel
एसओबी,sob
भविष्य,future
अभिलेख,record
गाड़ी की डिक्की,boot
संभावित,likely
खुश करना,cheer
सोना,gold
सिद्ध करना,prove
हा,ha
दो बार,twice
अवगत,aware
कमी,lack
राजकुमारी,princess
बेंच,bench
चचेरा,cousin
विवरण,detail
मात्रा,amount
चिड़िया,bird
पिछड़ा,backward
कुचलना,crush
सिगरेट,cigarette
बेहोश होना,faint
संबंधित होना,belong
अजनबी,stranger
समुद्र तट,beach
भार,load
हर जगह,everywhere
खरोंचना,scratch
इतिहास,history
रेस्टोरेंट,restaurant
आयोजन,event
अत्यंत,extremely
चौड़ा,widen
क्लच,clutch
देय,due
टग,tug
आगे,beyond
आनंद से,happily
गलती,mistake
हथेली,palm
मन बहलाना,amuse
अतिथि,guest
शनिवार,Saturday
लकड़ी का,wooden
बहुत बुरा,worst
बाहर निकलना,exit
प्लास्टिक,plastic
असलियत,reality
झिझक,wince
की घोषणा,announce
पड़ेगा,gotta
सो गए,slept
शंख,she'll
सदस्य,member
चुनना,choose
डॉ।,Dr.
तैरना,swim
खतरे की घंटी,alarm
घुटनों के बल चलना,crawl
डॉलर,dollar
चाकू,knife
जादू,magic
चुकाया गया,paid
पिज़्ज़ा,pizza
बटुआ,purse
उपहार,gift
मुर्गा,chicken
विमान,plane
गला घोंटना,choke
पेंच,screw
विरोध करना,protest
आधार,base
दवाई,drug
परिचय देना,introduce
आस्तीन,sleeve
आंदोलन,movement
ढीला,loose
नंगा,bare
चाहना,wanna
कठिन,difficult
चौखटा,frame
घुमाना,spin
नकली,fake
कलम,pen
समझा,understood
और न,nor
दुर्भाग्य से,unfortunately
लिखा हुआ,written
फ़ैसला,decision
निवेदन करना,beg
भारी,heavily
आग्रह करना,insist
आत्मा,soul
अनियमित,random
खेल,sport
नर,male
प्रबल इच्छा,urge
दस लाख,million
जम्हाई लेना,yawn
बैग,backpack
न्यायाधीश,judge
डराना,startle
गुच्छा,bunch
धारा,stream
वे हूँ,they'll
माँसपेशियाँ,muscle
गज,yard
दुर्घटना,accident
अजगर,dragon
वाक्य,sentence
मूर्ख,fool
फटा हुआ,torn
झुकना,bow
गूंज,echo
मिक्स,mix
दफ़नाना,bury
प्रणाली,system
गंध,dirt
आत्मा,spirit
पत्ता,leaf
रक्षा करना,protect
पंक्ति,row
आगे,forth
बैंगनी,purple
टकराना,bang
जिज्ञासु,curious
आस-पास,nearby
कहीं भी नहीं,nowhere
गिर जाना,collapse
कूदना,hop
गर्व,proud
विंग,wing
नष्ट करना,destroy
समुद्र,sea
अलग,separate
नासमझ,silly
घाव,wound
ईमानदार,honest
युद्ध,battle
जन्म,born
खाँसी,cough
पर्वत,mountain
विभाजित करना,split
वर्ग,square
नीचे,underneath
बाइक,bike
प्रक्रिया,process
कोई व्यक्ति,somebody
कक्षा,classroom
उपस्थिति,presence
किसका,whose
ग्रोन,grown
छिपा हुआ,hidden
सेवा करना,serve
महिला,female
बगीचा,garden
खाना,meal
अक्षम,unable
कोहनी,elbow
सहायता,support
पुल,bridge
प्रतिक्रिया,reaction
छोडना,skip
जंगली,wild
गुस्से से,angrily
प्रभाव,effect
धमकी देना,threaten
मूल रूप से,basically
एक प्रकार का जहाज़,smack
आघात,stroke
प्रवाह,flow
विलाप,moan
पौधा,plant
असंभव,impossible
चोट,bruise
निराश,disappoint
ऊर्जा,energy
छोड़ना,relieve
उलझन,confusion
शादी,wedding
मोटा,fat
बिल,bill
छैला,dude
पता,address
ढालना,cast
नंगा,naked
खिलौने,toy
गणित,math
निजी,personal
जहाज,ship
काता,spun
बात करना,chat
प्रार्थना,pray
कोड़ा,whip
पकड़,grasp
नहीं है,hasn't
तैरना,float
पूरी तरह,fully
भव्य,gorgeous
वास्तव में,indeed
नाखून,nail
दृष्टि,vision
मासूम,innocent
दोस्ताना,friendly
ईर्ष्या,jealous
आ गया,swung
ज्योति,flame
छात्रावास,dorm
सड़क,driveway
फैल,spill
गिरोह,gang
हत्या,murder
आदर,respect
झुका हुआ,bent
पूँछ,tail
सूचित करना,inform
पाठ,lesson
कराहना,whine
अंतिम रूप से तय,clench
उत्तेजना,excitement
पुस्तकालय,library
भगवान,lord
सतह,surface
धूल,dust
गंदी जगह,dump
विशेषता,feature
वस्तु,object
हथियार,weapon
शांति से,calmly
संकोच करना,hesitate
संकेत देना,hint
कानून,law
पत्रिका,magazine
के बीच,among
रोब जमाना,boss
फ़ाइल,file
चमड़ा,leather
परिणाम,result
फेंक दिया,thrown
पैर की अंगुली,toe
भयानक,terrible
स्थानीय,local
परियोजना,project
जीत गया,won
रेडियो,radio
खेद,regret
बड़बड़ाना,grumble
अन्यथा,otherwise
हास्यास्पद,ridiculous
सीडी,CD
प्यारा,lovely
दिखावटी,mock
कोशिश,effort
पंखा,fan
नस,nerve
प्रतिवेदन,report
छोटी दुकान,stall
लिफ़्ट,elevator
साथी,mate
हरामी,bastard
असंतोष का शब्द,grunt
ओ क्लॉक,o'clock
रस्सी,rope
पूरी तरह से,entirely
डराना,frighten
छाया,shade
ताकत,strength
हड्डी,bone
अदला-बदली,exchange
उड़ान,flight
सोमवार,Monday
साझेदार,partner
