,Hindi Words,English Words
317,आराम,rest
318,खुद,herself
319,मुसकान,grin
320,घंटा,hour
321,आशा,hope
322,भी,also
323,शरीर,body
324,ताकत,might
325,नहीं था,hadn't
326,ज़मीन,floor
327,इसका,its
328,जारी रखना,continue
329,दौड़ा,ran
330,आर-पार,across
331,पकड़,hold
332,चिल्लाना,cry
333,आधा,half
334,सुंदर,pretty
335,महान,great
336,अवधि,course
337,मुँह,mouth
338,कक्षा,class
339,बच्चा,kid
340,कुमारी,miss
341,आश्चर्य,wonder
342,सुबह,morning
343,कम से कम,least
344,अच्छा,nice
345,अँधेरा,dark
346,धीरे से,slowly
347,पूर्ण,done
348,परिवर्तन,change
349,नहीं है,doesn't
350,साथ में,together
351,अभी तक,yet
352,सवाल,question
353,फिर भी,anyway
354,खराब,bad
355,नीला,blue
356,विश्वास करना,believe
357,सप्ताह,week
358,ईश्वर,God
359,ओंठ,lip
360,श्री।,Mr.
361,नींद,sleep
362,अच्छा,fine
363,क्या है,what's
364,परिवार,family
365,अनेक,many
366,चिंता,worry
367,लुढ़काना,roll
368,माता-पिता,parent
369,अंतर्गत,under
370,आश्चर्य,surprise
371,पानी,water
372,पर,onto
373,थे,we're
374,झलक,glance
375,दीवार,wall
376,बीच में,between
377,देखा,seen
378,पढ़ना,read
379,खिड़की,window
380,विचार,idea
381,सफ़ेद,white
382,धकेलना,push
383,पैर,feet
384,अवश्य,must
385,ऐसा,such
386,सीट,seat
387,तय करना,set
388,कृपया,please
389,लाल,red
390,भाई,brother
391,इन,these
392,पूरा,whole
393,दुबला,lean
394,भाग,part
395,व्यक्ति,person
396,थोड़ा,slightly
397,उत्तीर्ण,pass
398,हिलाया,shook
399,तथ्य,fact
400,गलत,wrong
401,गया,gone
402,दूर,far
403,मार,hit
404,उँगलिया,finger
405,अत्यंत,quite
406,घृणा,hate
407,मिलना,meet
408,खत्म करना,finish
409,दिल,heart
410,किताब,book
411,अतीत,past
412,मारना,kill
413,कारण,reason
414,कोई भी,anyone
415,आकृति,figure
416,ऊपर,top
417,साथ में,along
418,दुनिया,world
419,ओसारा,she'd
420,उच्च,high
421,शर्ट,shirt
422,करता है,does
423,आज,today
424,युवा,young
425,आयोजित,held
426,बाहर,outside
427,सुनना,listen
428,फुसफुसाना,whisper
429,नहीं होगा,won't
430,खुश,happy
431,ज़मीन,ground
432,गहरा,deep
433,बूँद,drop
434,कंधे उचकाने की क्रिया,shrug
435,पोशाक,dress
436,गिरा,fell
437,वहाँ है,there's
438,चिल्लाना,yell
439,साँस,breath
440,वायु,air
441,आंसू,tear
442,बहन,sister
443,कुर्सी,chair
444,रसोईघर,kitchen
445,मामला,matter
446,आहत,hurt
447,गिरना,fall
448,घिसाव,wear
449,नहीं है,isn't
450,महिला,woman
451,खाना,eat
452,झूठ,lie
453,नरक,hell
454,कल्पना करना,suppose
455,ढकना,cover
456,जोड़ा,couple
457,बड़ा,large
458,दोनों में से एक,either
459,पाँच,five
460,टांग,leg
461,कूदना,jump
462,मरना,die
463,वापस करना,return
464,योग्य,able
465,थैला,bag
466,अकेला,alone
467,बंद करना,shut
468,सामग्री,stuff
469,छोटा,short
470,तैयार,ready
471,समझना,understand
472,रखा,kept
473,योजना,plan
474,उठाना,raise
475,गली,street
476,अलग,different
477,संकट,problem
478,तोड़ना,break
479,पंक्ति,line
480,जल्दी,early
481,काटना,cut
482,ठंडा,cold
483,कागज़,paper
484,चीख,scream
485,बजाय,instead
486,बेवकूफ,stupid
487,मौन,silence
488,पेड़,tree
489,पकड़ा,caught
490,कान,ear
491,खाना,food
492,भरा हुआ,full
493,चार,four
494,कारण,cause
495,लानत है,fuck
496,व्याख्या करना,explain
497,अपेक्षा करना,expect
498,झगड़ा करना,fight
499,बिल्कुल,exactly
500,क्रम से लगाना,sort
501,पूरी तरह,completely
502,पुरुषों,men
503,नृत्य,dance
504,मुलाकात की,met
505,कहानी,story
506,जो कुछ भी,whatever
507,निर्माण,build
508,बोलना,speak
509,काँच,glass
510,दर्द,pain
511,जाँच करना,check
512,चमक,glare
513,कोना,corner
514,श्रीमती।,Mrs.
515,छाती,chest
516,गर्म,hot
517,की अपेक्षा,rather
518,महीना,month
519,असली,real
520,छूना,touch
521,पार्क,park
522,लाना,bring
523,वे,they're
524,पीना,drink
525,पहले,ago
526,ताकत,force
527,आपने,you've
528,तेज़,fast
529,खोया,lost
530,ध्यान,attention
531,इच्छा,wish
532,निशान,mark
533,लहर,wave
534,चिल्लाना,shout
535,भरना,fill
536,शुरू,begin
537,बच्चा,baby
538,दिलचस्पी,interest
539,धन,money
540,आनंद,fun
541,हरा,green
542,हालाँकि,however
543,गाल,cheek
544,मेरा,mine
545,साफ़,clear
546,भूरा,brown
547,आगे,forward
548,पास में,near
549,चित्र,picture
550,मई,may
551,ठंडा,cool
552,गाड़ी चलाना,drive
553,आलिंगन,hug
554,हिलाना,shake
555,विवेक,sense
556,ठीक,alright
557,आप,you'll
558,सपना,dream
559,टांगना,hang
560,कपड़े,clothes
561,कार्य,act
562,बनना,become
563,प्रबंधित करना,manage
564,मतलब,meant
565,खेल,game
566,अनदेखा करना,ignore
567,सीढ़ी,stair
568,लिया,taken
569,दल,party
570,जोड़ना,add
571,कभी-कभी,sometimes
572,काम,job
573,दस,ten
574,गोली मारना,shot
575,तारीख,date
576,शांत,quiet
577,टकटकी,gaze
578,समूह,group
579,ऊँचा स्वर,loud
580,सीधा,straight
581,मृत,dead
582,गरदन,neck
583,के बगल में,beside
584,रोकना,pause
585,संख्या,number
586,बातचीत,conversation
587,अवसर,chance
588,कुंआ,we'll
589,गुलाब,rose
590,चुपचाप,quietly
591,कस्बा,town
592,खून,blood
593,रंग,color
594,मेज़,desk
595,रात का खाना,dinner
596,बड़ा कमरा,hall
597,घोड़ा,horse
598,संगीत,music
599,लाया,brought
600,टुकड़ा,piece
601,इसके बाद,anymore
602,सुंदर,beautiful
603,आदेश,order
604,आग,fire
605,कार्यालय,office
606,सत्य,TRUE
607,यद्यपि,although
608,गरम,warm
609,आसान,easy
610,प्रवेश करना,enter
611,उत्तम,perfect
612,धीरे से कहना,mutter
613,नरमी से,softly
614,पार करना,cross
615,झटका,shock
616,नखरे की मुस्कराहट,smirk
617,लानत है,damn
618,कोमल,soft
619,पेट,stomach
620,चटकाना,snap
621,बोला,spoke
622,थका देना,tire
623,डिब्बा,box
624,पकड़ना,catch
625,त्वचा,skin
626,अध्यापक,teacher
627,मध्य,middle
628,टिप्पणी,note
629,आप स्वयं,yourself
630,नहीं है,haven't
631,दिन का खाना,lunch
632,आने वाला कल,tomorrow
633,साँस लेना,breathe
634,साफ़,clean
635,के अलावा,except
636,के जैसा लगना,appear
637,ताला,lock
638,दस्तक,knock
639,स्नानघर,bathroom
640,फ़िल्म,movie
641,सहमत,agree
642,प्रस्ताव,offer
643,लात मारना,kick
644,प्रपत्र,form
645,भ्रमित,confuse
646,धूल में मिलना,lay
647,कम,less
648,शांत,calm
649,फिसलना,slip
650,नहीं थे,weren't
651,संकेत,sign
652,कुत्ता,dog
653,उठाना,lift
654,तुरंत,immediately
655,आना,arrive
656,सौदा,deal
657,आज रात,tonight
658,आम तौर पर,usually
659,मामला,case
660,घुड़की,frown
661,दुकान,shop
662,डराना,scare
663,वादा,promise
664,गेंदा,mum
665,सोफ़ा,couch
666,भुगतान करना,pay
667,राज्य,state
668,मल,shit
669,लपेटना,wrap
670,जेब,pocket
671,नमस्ते,hello
672,मुक्त,free
673,बहुत बड़ा,huge
674,सवारी,ride
675,परेशान करना,bother
676,भूमि,land
677,ज्ञात,known
678,विशेष रूप से,especially
679,अभिव्यक्ति,expression
680,ढोना,carry
681,अँगूठी,ring
682,धब्बा,spot
683,अनुमति देना,allow
684,अनेक,several
685,नहीं कर रहे हैं,aren't
686,दौरान,during
687,खाली,empty
688,महिला,lady
689,भौं,eyebrow
690,अजीब,strange
691,कॉफ़ी,coffee
692,सड़क,road
693,फेक दिया,threw
694,चौड़ा,wide
695,बस,bus
696,भूल जाओ,forget
697,कमाई,gotten
698,गंध,smell
699,डर,fear
700,प्रेस,press
701,दोस्त,boyfriend
702,गोरा,blonde
703,फेंकना,throw
704,गोल,round
705,रवि,sun
706,लंबा,tall
707,खुश,glad
708,आयु,age
709,लिखना,write
710,ऊपर,upon
711,छिपाना,hide
712,बन गया,became
713,भीड़,crowd
714,बारिश,rain
715,बचाना,save
716,मुश्किल,trouble
717,चिढ़ाना,annoy
718,नाक,nose
719,अजीब,weird
720,मौत,death
721,पीटना,beat
722,सुर,tone
723,यात्रा,trip
724,छह,six
725,नियंत्रण,control
726,लगभग,nearly
727,विचार करना,consider
728,होने वाला,gonna
729,जोड़ना,join
730,सीखना,learn
731,ऊपर,above
732,नमस्ते,hi
733,ज़ाहिर तौर से,obviously
734,पूरा,entire
735,दिशा,direction
736,पैर,foot
737,गुस्सा,angry
738,शक्ति,power
739,मज़बूत,strong
740,जल्दी,quick
741,चिकित्सक,doctor
742,किनारा,edge
743,गाना,song
744,सुप्त,asleep
745,बीस,twenty
746,मुश्किल से,barely
747,अवशेष,remain
748,बच्चा,child
749,आनंद लेना,enjoy
750,बंदूक,gun
751,धीमा,slow
752,शहर,city
753,टूट गया,broke
754,चाबी,key
755,नेतृत्व करना,lead
756,गला,throat
757,सामान्य,normal
758,आप चाहते,you'd
759,कहीं,somewhere
760,जागना,wake
761,जोड़ा,pair
762,आकाश,sky
763,मज़ेदार,funny
764,व्यवसाय,business
765,विद्यार्थी,student
766,खिसियाना,giggle
767,चमकदार,bright
768,भर्ती होना,admit
769,जींस,jeans
770,दिया गया,given
771,बच्चे,children
772,इकट्ठा करना,store
773,मिठाई,sweet
774,कम,low
775,चढ़ना,climb
776,रगड़ना,rub
777,अपार्टमेंट,apartment
778,घुटना,knee
779,जूता,shoe
780,आक्रमण करना,attack
781,सोने का कमरा,bedroom
782,चुटकुला,joke
783,खर्च किया,spent
784,परिस्थिति,situation
785,अटक गया,stuck
786,धीरे,gently
787,संभव,possible
788,कक्ष,cell
789,उल्लेख,mention
790,चुपचाप,silent
791,निश्चित रूप से,definitely
792,जल्दबाज़ी करना,rush
793,त्रिशंकु,hung
794,ब्रश,brush
795,शायद,perhaps
796,कराहना,groan
797,गधा,ass
798,चट्टान,rock
799,कार्ड,card
800,खोना,lose
801,शर्म,blush
802,अलावा,besides
803,पागल,crazy
804,प्रकार,type
805,ऊब पैदा करना,bore
806,डरना,afraid
807,पीछा करना,chase
808,जवाब देना,respond
809,शादी कर,marry
810,याद दिलाना,remind
811,सामान बाँधना,pack
812,बेटी,daughter
813,गंभीर,serious
814,दोस्त,girlfriend
815,पागल,mad
816,किसी तरह,somehow
817,खरीदना,buy
818,भेजा,sent
819,कसा हुआ,tight
820,केवल,simply
821,विश्वास,trust
822,कल्पना करना,imagine
823,हवा,wind
824,कुड़ाकुड़ाना,chuckle
825,छड़,bar
826,गुलाबी,pink
827,धक्का,shove
828,गेंद,ball
829,दृश्य,sight
830,खींचना,drag
831,वे चाहते,they'd
832,इंसान,human
833,सच,truth
834,शेयर करना,share
835,क्षेत्र,area
836,चिंता,concern
837,नहीं करना चाहिए,shouldn't
838,टीम,team
839,पलायन,escape
840,बुदबुदाना,mumble
841,अक्सर,often
842,खोज,search
843,प्रकट रूप से,apparently
844,कोशिश करना,attempt
845,बेटा,son
846,अंदर,within
847,बैंड,band
848,प्यारा,cute
849,अगुआई की,led
850,याद,memory
851,गुस्सा,anger
852,उड़ना,fly
853,रँगना,paint
854,बोतल,bottle
855,व्यस्त,busy
856,टिप्पणी,comment
857,चिल्लाना,exclaim
858,टालना,avoid
859,बढ़ना,grow
860,स्लेटी,grey
861,आईना,mirror
862,दम तोड़ देना,gasp
863,दालान,hallway
864,प्रिय,dear
865,तारा,star
866,बीमार,sick
867,बिल्ली,cat
868,विरोध करना,counter
869,बाधा डालना,interrupt
870,कोई नहीं,none
871,झपकी,blink
872,खर्च करना,spend
873,साधारण,usual
874,ज़्यादा बुरा,worse
875,लॉकर,locker
876,महत्वपूर्ण,important
877,पसंदीदा,favorite
878,पकड़,grip
879,टीवी,TV
880,बर्फ़,ice
881,दिखावा करना,pretend
882,निपटारा करना,settle
883,अमेज,amaze
884,जल्दी से आना,pop
885,गायब होना,disappear
886,रेलगाड़ी,train
887,चिपकना,stick
888,रक्षक,guard
889,दाँत,teeth
890,चमक,flash
891,चाचा,uncle
892,भेजना,send
893,संदेह,doubt
894,मिलने जाना,visit
895,घबराया हुआ,nervous
896,उत्तेजित,excite
897,दृष्टिकोण,approach
898,क्षमा,excuse
899,उपयुक्त,fit
900,शोर,noise
901,अध्ययन,study
902,पत्र,letter
903,पुलिस,police
904,अंततः,eventually
905,जलाना,burn
906,मैदान,field
907,अस्पताल,hospital
908,बाँधना,tie
909,गर्मी,summer
910,हुह,huh
911,बदलाव,shift
912,खुद,self
913,जल्दी,hurry
914,अभिवादन,greet
915,पत्नी,wife
916,पद,position
917,हमने,we've
918,पोंछना,wipe
919,अधिक वज़नदार,heavy
920,स्लैम,slam
921,टूटा हुआ,broken
922,पूरा,complete
923,अंतरिक्ष,space
924,दिमाग,brain
925,छोटा,tiny
926,पैंट,pants
927,एएच,ah
928,पंच,punch
929,फव्वारा,shower
930,जीभ,tongue
931,दोपहर,afternoon
932,गंभीरता से,seriously
933,कप,cup
934,आगे,further
935,जाति,race
936,पहचानना,recognize
937,कंप्यूटर,computer
938,बजी,rang
939,सुरक्षित,safe
940,जैकेट,jacket
941,तल,bottom
942,सौ,hundred
943,आराम करना,relax
944,अचानक,sudden
945,बहुत खूब,wow
946,कॉलेज,college
947,पलटना,flip
948,मनोदशा,mood
949,रास्ता,track
950,दरार,crack
951,अवरोध पैदा करना,block
952,सँभालना,handle
953,खुद,themselves
954,गल्ला,drove
955,सात,seven
956,संघर्ष,struggle
957,चाहे,whether
958,आगे,ahead
959,उदास,sad
960,सूखा,dry
961,औरत,women
962,केंद्र,focus
963,दोहराना,repeat
964,मोटा,thick
965,रिश्ता,relationship
966,झटका,jerk
967,वर्तमान,present
968,चूसना,suck
969,घंटी,bell
970,चारों ओर,surround
971,शाम,evening
972,काटना,bite
973,अकेला,single
974,गलती,fault
975,छाया,shadow
976,लकड़ी,wood
977,आसानी से,easily
978,उठा,woke
979,धुआँ,smoke
980,खींचना,draw
981,सुझाव देना,suggest
982,गीला,wet
983,स्वीकार करना,accept
984,तीसरा,third
985,पूरी तरह से,totally
986,पहनी थी,wore
987,नाश्ता,breakfast
988,पगडंडी,trail
989,जानवर,animal
990,चेतावनी देना,warn
991,चाची,aunt
992,महोदय,sir
993,पेशाब,piss
994,फोड़ना,burst
995,मिलान,match
996,हल करना,fix
997,वास्तव में,practically
998,अजीब,odd
999,धोना,wash
1000,गाना,sing
1001,इंच,inch
1002,आकार,size
1003,गुप्त,secret
1004,कौन है,who's
1005,घड़ी,clock
1006,कंपनी,company
1007,देखना,view
1008,पोशाक,suit
1009,हमेशा के लिए,forever
1010,परिचित,familiar
1011,माथा,forehead
1012,गोली मारना,shoot
1013,बढ़ी,grew
1014,खींचना,stretch
1015,पाउंड,pound
1016,इसके बावजूद,despite
1017,जवाब,response
1018,केंद्र,center
1019,कर्ल,curl
1020,थोड़ा,slight
1021,टॉस,toss
1022,के नीचे,beneath
1023,मुट्ठी,fist
1024,स्वागत,welcome
1025,हँसी,laughter
1026,देवदूत,angel
1027,क्रिसमस,Christmas
1028,बुध,we'd
1029,मुख्य,main
1030,सरल,simple
1031,कोई भी नहीं,neither
1032,दूरी,distance
1033,आराम,comfort
1034,परेशान,upset
1035,मान लीजिए,assume
1036,आठ,eight
1037,इकट्ठा करना,gather
1038,भाग्यशाली,lucky
1039,हल्का होना,fade
1040,एमएस।,Ms.
1041,परत,coat
1042,विशेष,special
1043,अजीब,awkward
1044,कुछ,certain
1045,तश्तरी,plate
1046,अंधेरा,darkness
1047,अभ्यास,practice
1048,ज़ाहिर,obvious
1049,श्रेणी,grade
1050,मलाई,cream
1051,पसंद,choice
1052,मुश्किल से,hardly
1053,फीका,pale
1054,पतला,thin
1055,बटन,button
1056,चॉकलेट,chocolate
1057,अस्वीकार करना,refuse
1058,गिरावट,slid
1059,तकिया,pillow
1060,तीस,thirty
1061,गिनती करना,count
1062,ईमानदारी से,honestly
1063,गरीब,poor
1064,गति,motion
1065,आंधी,storm
1066,हलकी हलकी,lightly
1067,कोई नहीं,nobody
1068,अनुभव,experience
1069,पथ,path
1070,अवधि,period
1071,हिम्मत,dare
1072,माँग,demand
1073,आरामदायक,comfortable
1074,स्पष्ट रूप से,clearly
1075,चाँदी,silver
1076,समकक्ष,peer
1077,जन्मदिन,birthday
1078,घृणा,disgust
1079,शर्मिंदा करना,embarrass
1080,खरीदा,bought
1081,परीक्षा,test
1082,गोद,lap
1083,बेट,bet
1084,जोर जोर,loudly
1085,चालक,driver
1086,बड़बड़ाहट,murmur
1087,स्वाद,taste
1088,पूरी तरह से,perfectly
1089,निचोड़,squeeze
1090,तख़्ता,board
1091,कीमत,worth
1092,तह करना,fold
1093,फैलाना,spread
1094,बकवास,crap
1095,भावना,emotion
1096,विषय,subject
1097,बहना,pour
1098,लिटा देना,laid
1099,निचला,lower
1100,मील,mile
1101,हाँ,yea
1102,पृष्ठ,page
1103,ढेर,pile
1104,बर्फ,snow
1105,संदेश,message
1106,अंग्रेज़ी,English
1107,दृश्य,scene
1108,डूबना,sink
1109,असफल,fail
1110,भूल गया,forgot
1111,छेद,hole
1112,दिल ही दिल में,silently
1113,गर्मी,heat
1114,सप्ताहांत,weekend
1115,ड्रयू,drew
1116,गिटार,guitar
1117,पसीना,sweat
1118,जब तक,unless
1119,बादल,cloud
1120,कमर,waist
1121,थप्पड़,slap
1122,बहस करना,argue
1123,घास,grass
1124,बेवकूफ़,idiot
1125,स्क्रीन,screen
1126,कल,yesterday
1127,कसम खाना,swear
1128,जुड़वां,twin
1129,हाथों हाथ,instantly
1130,अलग,apart
1131,सँकरा,narrow
1132,विलोम,opposite
1133,फूँक मारना,blow
1134,कलाई,wrist
1135,धरती,earth
1136,कार्य,action
1137,घेरा,circle
1138,भूल गई,forgotten
1139,सूची,list
1140,अलमारी,closet
1141,पिया हुआ,drunk
1142,आकार,shape
1143,पीला,yellow
1144,मोड़,twist
1145,वज़न,weight
1146,बुद्धिमान,smart
1147,यह होगा,it'll
1148,इलाज,treat
1149,पोखर,pool
1150,तैयार करना,prepare
1151,चौकन्ना,awake
1152,निश्चित रूप से,certainly
1153,चिढ़ाना,tease
1154,संपर्क,contact
1155,फिसलना,slide
1156,आश्चर्यजनक,wonderful
1157,कुतिया,bitch
1158,प्रकट करना,reveal
1159,झूला,swing
1160,ट्रक,truck
1161,कहीं भी,anywhere
1162,फूल,flower
1163,ऊपर,upstairs
1164,उसकी,hers
1165,अपने आप,itself
1166,घूमना,wander
1167,सीढ़ी के नीचे,downstairs
1168,फ़ुटबॉल,football
1169,संभवत:,possibly
1170,फाड़ना,rip
1171,जंगल,forest
1172,अधिकतर,mostly
1173,खूनी,bloody
1174,गिरजाघर,church
1175,समलैंगिक,gay
1176,पत्थर,stone
1177,पति,husband
1178,लिंग,sex
1179,चाल,trick
1180,आपका अपना,yours
1181,बादल की गरज,growl
1182,क्लब,club
1183,शुक्रवार,Friday
1184,अवस्था,stage
1185,शामिल करना,include
1186,एसआईपी,sip
1187,आमंत्रित करना,invite
1188,तीखा,sharp
1189,मनवाना,convince
1190,चादर,sheet
1191,बिल्कुल,absolutely
1192,नारंगी,orange
1193,राहत,relief
1194,क्षमा माँगना,apologize
1195,कला,art
1196,नरक,he'll
1197,निकालना,remove
1198,टकरा जाना,crash
1199,वैन,van
1200,अभिशाप,curse
1201,जीवित,alive
1202,कंबल,blanket
1203,पाना,receive
1204,बख्शीश,tip
1205,उठना,rise
1206,मज़बूती से,tightly
1207,बरबाद करना,waste
1208,कटोरा,bowl
1209,गिरा हुआ,fallen
1210,नदी,river
1211,माँ,mama
1212,गति,pace
1213,शहद,honey
1214,निगलना,swallow
1215,राजा,king
1216,कैमरा,camera
1217,योग्य होना,deserve
1218,गंदा,dirty
1219,ठोड़ी,chin
1220,द्वार,doorway
1221,छवि,image
1222,कुकी,cookie
1223,गृहकार्य,homework
1224,टोपी,hat
1225,भाग्य,luck
1226,अलग,aside
1227,जानकारी,information
1228,पंद्रह,fifteen
1229,गोरा,fair
1230,खिलाड़ी,player
1231,राक्षस,monster
1232,दरवाज़ा,gate
1233,जीतना,win
1234,नीचे,below
1235,छत,ceiling
1236,क्लिक,click
1237,खाना पकाना,cook
1238,यात्रा,travel
1239,मछली,fish
1240,जगमगाता,lit
1241,nervously,nervously
1242,तौलिया,towel
1243,कांपना,shiver
1244,अंतिम,final
1245,भयंकर,horrible
1246,स्टेशन,station
1247,शिविर,camp
1248,भूखा,hungry
1249,हज़ार,thousand
1250,बुराई,evil
1251,अमीर,rich
1252,युद्ध,war
1253,शामिल होना,involve
1254,जबड़ा,jaw
1255,असुविधाजनक,uncomfortable
1256,सीधे,directly
1257,स्तर,level
1258,दोहरा,double
1259,नौ,nine
1260,प्राणी,creature
1261,चमकना,glow
1262,कुछ हद तक,somewhat
1263,दोष,blame
1264,प्रवेश,entrance
1265,कूल्हा,hip
1266,ताज़ा,fresh
1267,फुफकार,hiss
1268,सामान्य रूप से,normally
1269,नल,tap
1270,मशीन,machine
1271,नष्ट करना,ruin
1272,भालू,bear
1273,नियम,rule
1274,तक,till
1275,मुर्गा,cock
1276,ठोकर,stumble
1277,शिकायत करना,complain
1278,हर कोई,everybody
1279,सही मायने में,truly
1280,देखभाल करना,nurse
1281,रफ़्तार,speed
1282,हम्म,hmm
1283,घबड़ाहट,panic
1284,चिकना,smooth
1285,कमज़ोर,weak
1286,अलविदा,good-bye
